# สำรองราคาสินค้า Wix (3jthailand.com) ก่อนเปลี่ยนสกุลเงิน USD -> THB
# site_id: 4e1f7c4b-3b37-4e7b-8449-c0f188998827
# ดึงผ่าน Wix Catalog V1 QueryProducts เมื่อ 29 ส.ค. 2569
# สินค้าทั้งหมด 290 ตัว | ราคา 0 = 168 ตัว | ราคา > 0 = 122 ตัว (ทุกตัวเป็น variant-managed)
# ช่วงราคา USD 24.00 - 880.00 | ไฟล์นี้เก็บเฉพาะ 122 ตัวที่มีราคา ที่เหลือ = 0 ทั้งหมด
# คอลัมน์: product_id <TAB> name <TAB> price_usd
product_id	name	price_usd
dc6e213b-fb00-54e9-7f8e-e75581f47ac1	EA15198CZ	80
b84b13ca-23d2-1fa6-5b53-474032cf17b8	EA15197CZ	64
1d717371-c85d-f3f2-7753-6be900a0d312	EA15195CZ	54.4
dce746e0-fe35-6af0-7cfa-c09d2a92276d	EA15199CZ	67.2
e37047ab-e7a2-d7ce-1532-836cc890155d	R10094CZ	91.2
25f63543-4be8-8be2-5e9c-cf63df291df5	RP10029	116.8
5cb80d34-d699-7d75-a087-f9806ed8a0de	RP10027	156.8
0039acf5-5248-11bc-63c2-08572a04b0a8	RP10028	192
195a9f6c-e187-78d1-c04d-d5ac986316a4	RP10026	232
264c8eeb-7309-3dd8-0224-5b8e7d039001	RP10025	208
3bf4e57f-4430-e44b-96b4-064c82d6e143	EA15188ST	115.2
6379a66c-1201-7da0-c100-8a0d7d710bd6	EA15089ST	72.96
c7577deb-be52-69dc-b3df-388583547cc6	P11675ST	73.6
2715273d-3b02-5157-58a5-d3dd3a1efbeb	P11670ST	73.6
9b7fcb33-ffbc-bba5-2048-8dd4008d4149	BR0458	134.4
8cca9ae9-80f7-b5bd-eb70-c4997d3f8649	BR0457	142.4
2d769522-1261-369e-325f-88c4351409d3	BR0456	72.8
7d865d2a-1d75-1c34-fefd-9499c2023276	R10018ST	108.8
45ae0185-7456-f574-2392-dadab5735dd6	R10020ST	132.8
ab3c5014-8b69-9a72-5c25-2750ab4ebeb0	P11782CZ	60
de751132-4694-d696-60b2-30f02e21d7d6	EA15213ST	134.4
9c4dde1b-92f4-1554-db1c-0d31ac828fce	P11811CZ	32
